Site,UniqueID,Site list,Map Tool Grade Levels,Geographic Region,Construction Year,decade,Square Feet,FCI,FCI Rating,Current Utilization,Utilization Categories,2023-2024,Outdoor spaces ,Add 1 Year,Add 1 Area,Add 2 Year,Add 2 Area,Add 3 Year,Add 3 Area,Add 4 Year,Add 4 Area,Add 5 Year,Add 5 Area,Addition area,Number of additions,Available Acreage
283,8888cbbb,Neeskara,Elementary School,Central,1926,1920,"75,280",0.051,Good,88.76%,Good,371,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,3.588
62,60c92bfa,Victory K8/ Italian Imm,K-8,East,1961,1960,"55,879",0.181,Fair,87.89%,Good,421,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,2.903
149,56cd986b,Starms ECC,Elementary School,Central,1893,1890,"46,260",0.271,Fair,87.62%,Good,269,"Age-appropriate playground, Grass field, Hardscape surface, Outdoor classroom",1929,0,1964,0,0,0,0,0,0,0,0,0,1.838
29,ad8f3d0a,Riverside HS,High School,East,1912,1910,"359,322",0.044,Great,86.33%,Good,1162,"Baseball field, Grass field, Soccer, Softball, Football, Multi-sport Field, Outdoor track",1941,0,1977,0,0,0,0,0,0,0,0,0,18.659
114,79f8edb7,Clemens,Elementary School,Central,1959,1950,"46,232",0.091,Good,85.60%,Good,309,"Age-appropriate playground, Basketball court, Hardscape surface",1987,0,0,0,0,0,0,0,0,0,0,0,4.314
208,1c4690a5,Whitman,K-8,Southwest,1959,1950,"44,257",0.251,Fair,85.31%,Good,331,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",1932,36683,1972,2241,0,0,0,0,0,0,38924,2,2.223
194,81c57d6a,River Trail,K-8,Northwest,1973,1970,"59,402",0.092,Good,84.13%,Good,403,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,6.491
125,9408377d,Garland,K-8,East,1959,1950,"81,263",0.104,Fair,82.33%,Good,536,,2006,9864,0,0,0,0,0,0,0,0,9864,1,1.572
250,29c004fd,Lincoln Ave Elementary,Elementary School,Southwest,1917,1910,"81,362",0.022,Great,82.21%,Good,416,"Age-appropriate playground, Basketball court, Soccer, Softball, Hardscape surface, Outdoor classroom, Edible Garden",2003,9270,0,0,0,0,0,0,0,0,9270,1,2.647
49,321f6d86,Milw Parkside,K-8,East,1963,1960,"172,109",0.139,Fair,82.10%,Good,853,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,5.608
196,1a87c7b5,Grantosa,K-8,Northwest,1956,1950,"79,541",0.152,Fair,81.27%,Good,551,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",1957,0,2004,10488,0,0,0,0,0,0,10488,1,6.139
208,2f9526ac,Hartford,K-8,East,1916,1910,"85,700",0.582,Poor,79.33%,Good,380,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",1932,36683,1972,2241,0,0,0,0,0,0,38924,2,2.223
18,5f42d7f6,Hamilton HS,High School,Southwest,1966,1960,"380,573",0.031,Great,78.86%,Good,1485,"Baseball field, Tennis court, Softball, Football, Multi-sport Field, Outdoor track, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,17.504
65,b67e015d,ALBA,K-8,Southwest,1912,1910,0,0.114,Fair,77.50%,Good,620,"Age-appropriate playground, Grass field, Soccer, Hardscape surface, Outdoor classroom",1929,172500,0,0,0,0,0,0,0,0,172500,1,2.927
55,b4454ffb,Trowbridge,K-8,East,1894,1890,"52,623",0.141,Fair,76.87%,Good,236,"Age-appropriate playground, Basketball court, Outdoor track, Hardscape surface, Outdoor classroom, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,4.393
73,efa75ee0,Allen-Field School,Elementary School,Southwest,1968,1960,"82,500",0.086,Good,75.96%,Good,474,"Age-appropriate playground, Basketball court, Grass field, Soccer, Outdoor track, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,3.604
154,5cc8f325,Townsend,K-8,Central,1928,1920,"71,349",0.253,Fair,75.13%,Good,299,"Basketball court, Hardscape surface, Outdoor classroom",0,0,0,0,1991,-,1992,6536,2003,15908,22444,3,1.878
267,9f89a939,Maple Tree,Elementary School,Northwest,1955,1950,"52,200",0.037,Great,73.13%,Low,264,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom, Edible Garden",1959,0,1966,0,0,0,0,0,0,0,0,0,9.012
131,3bc4e6d1,Bay View Montessori - Upper,K-8,East,1890,1890,"66,629",0.01,Great,71.76%,Low,305,"Age-appropriate playground, Basketball court, Grass field, Soccer, Hardscape surface, Outdoor classroom, Edible Garden",1909,0,1921,0,0,0,0,0,0,0,0,0,2.025
113,8233b659,Clement Ave,K-8,East,1953,1950,"59,252",0.058,Good,71.75%,Low,259,"Age-appropriate playground, Basketball court, Grass field, Outdoor track, Hardscape surface, Outdoor classroom, Edible Garden",1987,0,0,0,0,0,0,0,0,0,0,0,3.903
270,73c89817,Metcalfe,K-8,Central,2000,2000,"69,847",0.014,Great,71.40%,Low,342,"Age-appropriate playground, Grass field, Tennis court, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,1.682
152,894dac5d,Engleburg,Elementary School,Northwest,1960,1960,"68,067",0.082,Good,69.79%,Low,268,"Age-appropriate playground, Basketball court, Hardscape surface",1962,0,1968,0,0,0,0,0,0,0,0,0,3.635
309,89e6c49e,Carson,K-8,Northwest,1970,1970,"69,391",0.112,Fair,69.31%,Low,332,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,1.902
16,ec297904,Obama SCTE,High School,Northwest,1955,1950,"306,065",0.035,Great,69.23%,Low,1226,"Basketball court, Baseball field, Grass field, Soccer, Football, Outdoor track, Hardscape surface, Outdoor classroom, Edible Garden",1981,0,0,0,0,0,0,0,0,0,0,0,17.957
170,8842620e,Fifty -Third,K-8,Central,1952,1950,"69,724",0.218,Fair,68.89%,Low,330,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Hardscape surface, Outdoor classroom",1988,17751,2003,14010,0,0,0,0,0,0,31761,2,5.592
41,942880df,Audubon HS,High School,Southwest,1959,1950,0,1,,68.85%,Low,431,"Basketball court, Baseball field, Tennis court, Soccer, Softball, Outdoor track, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,6.873
12,dd53b1de,Bay View HS,High School,East,1923,1920,"295,435",0.061,Good,68.48%,Low,956,"Multi-sport Court (ex. tennis + Volley + basketball etc), Multi-sport Field",1974,0,0,0,0,0,0,0,0,0,0,0,5.73
